city,lat,lon,aqi,temp,humidity,pressure
Delhi,28.6139,77.209,159,25,50,1010
Mumbai,19.076,72.8777,121,25,50,1010
Bengaluru,12.9716,77.5946,71,25,50,1010
Chennai,13.0827,80.2707,72,25,50,1010
Hyderabad,17.385,78.4867,72,25,50,1010
Kolkata,22.5726,88.3639,169,25,50,1010
Ahmedabad,23.0225,72.5714,49,25,50,1010
Jaipur,26.9124,75.7873,63,25,50,1010
Lucknow,26.8467,80.9462,53,25,50,1010
Pune,18.5204,73.8567,59,25,50,1010
Bhopal,23.2599,77.4126,38,25,50,1010
Patna,25.5941,85.1376,138,25,50,1010
Nagpur,21.1458,79.0882,52,25,50,1010
Indore,22.7196,75.8577,83,25,50,1010
Chandigarh,30.7333,76.7794,87,25,50,1010
